,1. open,2. high,3. low,4. close,5. volume,absolute_range,relative_range_pct
2025-10-20,51.44,52.28,51.37,52.04,25785985.0,0.9100000000000037,1.7486548808608833
2025-10-21,52.09,52.37,51.44,51.52,27303428.0,0.9299999999999997,1.8051242236024838
2025-10-22,51.495,51.58,50.435,51.1,34954973.0,1.144999999999996,2.2407045009784654
2025-10-23,51.48,51.8,51.11,51.76,26028810.0,0.6899999999999977,1.3330757341576465
2025-10-24,51.85,52.815,51.85,52.57,38923897.0,0.9649999999999963,1.8356477078181401
2025-10-27,52.8,53.065,52.53,53.02,27345801.0,0.5349999999999966,1.0090531874764175
2025-10-28,53.0,53.275,52.34,52.87,29575215.0,0.9349999999999952,1.7684887459806984
2025-10-29,52.66,53.005,52.32,52.58,29158770.0,0.6850000000000023,1.3027767211867674
2025-10-30,52.67,53.44,52.56,53.03,37548588.0,0.8799999999999955,1.6594380539317282
2025-10-31,52.79,53.64,52.77,53.45,39295717.0,0.8699999999999974,1.627689429373241
2025-11-03,53.26,53.64,52.71,53.56,31252323.0,0.9299999999999997,1.7363704256908135
2025-11-04,53.02,53.995,52.72,53.54,47226578.0,1.2749999999999986,2.381397086290621
2025-11-05,52.96,53.07,51.735,52.45,53700819.0,1.3350000000000009,2.5452812202097252
2025-11-06,53.42,53.75,52.77,53.29,55296039.0,0.9799999999999969,1.8389941827734977
2025-11-07,53.15,53.58,52.71,53.2,40537658.0,0.8699999999999974,1.6353383458646569
2025-11-10,53.41,53.99,53.34,53.42,26094576.0,0.6499999999999986,1.2167727442905252
2025-11-11,53.75,53.98,53.28,53.63,22244345.0,0.6999999999999957,1.3052396046988546
2025-11-12,53.89,54.69,53.77,54.11,40536695.0,0.9199999999999946,1.7002402513398531
2025-11-13,53.79,54.21,52.77,52.87,37716055.0,1.4399999999999977,2.723661811991674
2025-11-14,52.86,52.8985,52.03,52.61,32363064.0,0.8684999999999974,1.6508268390039869
2025-11-17,52.575,52.58,51.39,51.48,35546828.0,1.1899999999999977,2.3115773115773073
2025-11-18,51.28,52.18,51.145,51.64,35189535.0,1.0349999999999966,2.0042602633617284
2025-11-19,51.67,52.485,51.67,52.02,28112345.0,0.8149999999999977,1.5667051134179117
2025-11-20,52.5,52.95,50.97,51.0,36661608.0,1.980000000000004,3.8823529411764786
2025-11-21,51.29,51.78,50.695,51.56,43867164.0,1.0850000000000009,2.1043444530643924
2025-11-24,51.645,52.24,51.395,51.93,52852083.0,0.8449999999999989,1.6271904486809146
2025-11-25,52.25,52.88,51.86,52.48,41310130.0,1.0200000000000031,1.943597560975616
2025-11-26,52.7,53.2468,52.55,52.99,32045585.0,0.6968000000000032,1.3149650877524122
2025-11-28,53.11,53.94,53.05,53.65,18920782.0,0.8900000000000006,1.658900279589936
2025-12-01,53.5,53.9,53.21,53.24,30536532.0,0.6899999999999977,1.2960180315552172
2025-12-02,53.53,53.64,52.97,53.19,46073513.0,0.6700000000000017,1.2596352697875572
2025-12-03,53.25,54.24,53.18,54.09,37134402.0,1.0600000000000023,1.959696801626922
2025-12-04,54.21,54.69,54.0,54.16,38529590.0,0.6899999999999977,1.2740029542097449
2025-12-05,53.93,54.825,53.74,53.95,33986515.0,1.0850000000000009,2.0111214087117713
2025-12-08,53.9,54.209,53.485,53.9,34217245.0,0.7240000000000038,1.3432282003710645
2025-12-09,53.97,54.28,53.265,53.54,44208543.0,1.0150000000000006,1.8957788569293996
2025-12-10,53.59,54.55,53.34,54.08,54424439.0,1.2099999999999937,2.237426035502947
2025-12-11,53.95,54.65,53.75,54.56,35686915.0,0.8999999999999986,1.6495601173020502
2025-12-12,54.78,55.295,54.35,55.14,40539413.0,0.9450000000000003,1.7138193688792172
2025-12-15,55.41,56.07,55.065,55.33,32881254.0,1.0050000000000026,1.8163744803903898
2025-12-16,55.14,55.35,54.69,54.81,32931915.0,0.6600000000000037,1.2041598248494867
2025-12-17,55.12,55.57,54.4635,54.55,35304082.0,1.106499999999997,2.028414298808427
2025-12-18,54.8,55.15,53.77,54.26,87452699.0,1.3799999999999955,2.5433099889421222
2025-12-19,54.52,55.31,54.375,55.27,73001930.0,0.9350000000000023,1.6916953139135196
2025-12-22,55.37,56.11,55.34,55.88,33408769.0,0.769999999999996,1.3779527559055047
2025-12-23,55.81,56.22,55.81,55.97,22274605.0,0.4099999999999966,0.7325352867607586
2025-12-24,56.13,56.5,55.89,56.25,13634407.0,0.6099999999999994,1.0844444444444434
2025-12-26,56.28,56.545,56.025,56.17,15259444.0,0.5200000000000031,0.9257610824283481
2025-12-29,56.105,56.245,55.27,55.35,21040098.0,0.9749999999999943,1.7615176151761416
2025-12-30,55.49,55.64,55.17,55.28,17427630.0,0.46999999999999886,0.8502170767004321
2025-12-31,55.32,55.42,54.93,55.0,16293026.0,0.490000000000002,0.8909090909090944
2026-01-02,55.03,55.99,54.88,55.95,25503555.0,1.1099999999999994,1.9839142091152804
2026-01-05,56.17,57.55,56.14,56.89,36096600.0,1.4099999999999966,2.4784672174371534
2026-01-06,57.01,57.41,56.75,57.25,31791923.0,0.6599999999999966,1.1528384279475923
2026-01-07,56.69,56.805,55.44,55.64,49695546.0,1.365000000000002,2.4532710280373866
2026-01-08,55.475,56.58,55.47,56.18,30933669.0,1.1099999999999994,1.9757920968316116
2026-01-09,56.17,56.61,55.79,55.85,30768757.0,0.8200000000000003,1.4682184422560434
2026-01-12,55.29,55.445,54.73,55.19,45860555.0,0.7150000000000034,1.2955245515491998
2026-01-13,55.27,55.52,54.3,54.54,43542232.0,1.220000000000006,2.236890355702248
2026-01-14,52.88,53.48,51.66,52.48,84750044.0,1.8200000000000003,3.46798780487805
2026-01-15,52.72,53.0365,52.2297,52.59,51018273.0,0.8067999999999955,1.5341319642517504
2026-01-16,52.685,53.38,52.245,52.97,52178429.0,1.1350000000000051,2.1427222956390506
2026-01-20,52.315,53.4767,51.96,52.1,48656080.0,1.5167000000000002,2.911132437619962
2026-01-21,52.23,52.86,52.045,52.07,36339971.0,0.8149999999999977,1.5652006913769883
2026-01-22,52.47,53.13,52.33,52.45,31229211.0,0.8000000000000043,1.5252621544328013
2026-01-23,52.11,52.2,51.38,51.72,34553499.0,0.8200000000000003,1.5854601701469457
2026-01-26,51.8,52.275,51.67,52.02,27728400.0,0.6049999999999969,1.1630142252979563
2026-01-27,52.21,52.2451,51.812,52.17,26350956.0,0.43310000000000315,0.8301705961280489
2026-01-28,51.95,52.14,51.31,51.81,35030158.0,0.8299999999999983,1.6020073344914076
2026-01-29,51.98,53.09,51.95,53.08,35200456.0,1.1400000000000006,2.1477015825169565
2026-01-30,52.87,53.41,52.77,53.2,34549130.0,0.6399999999999935,1.20300751879698
2026-02-02,53.2,54.09,52.95,54.03,34624464.0,1.1400000000000006,2.109938922820656
2026-02-03,54.2,55.12,53.675,54.45,40339363.0,1.4450000000000003,2.653810835629018
2026-02-04,54.78,56.04,54.71,55.38,54522543.0,1.3299999999999983,2.401589021307328
2026-02-05,55.02,55.29,54.25,54.94,32959672.0,1.0399999999999991,1.8929741536221316
2026-02-06,55.55,56.87,55.29,56.53,42467989.0,1.5799999999999983,2.7949761188749305
2026-02-09,56.39,56.715,56.18,56.41,31968377.0,0.5350000000000037,0.948413401879106
2026-02-10,56.44,56.83,54.265,55.39,48304748.0,2.5649999999999977,4.630799783354392
2026-02-11,55.97,56.11,53.24,53.85,48973507.0,2.8699999999999974,5.329619312906217
2026-02-12,53.91,53.94,51.79,52.52,55481595.0,2.1499999999999986,4.093678598629091
2026-02-13,51.91,52.82,51.435,52.55,31772096.0,1.384999999999998,2.635585156993336
2026-02-17,53.04,53.55,52.615,52.74,35542357.0,0.9349999999999952,1.7728479332574802
2026-02-18,52.99,53.6086,52.79,53.36,30698902.0,0.8186000000000035,1.5341079460269933
2026-02-19,51.91,52.81,51.83,52.77,47148587.0,0.980000000000004,1.8571157854841842
2026-02-20,52.53,53.09,51.83,53.06,33552006.0,1.2600000000000051,2.3746701846965794
2026-02-23,52.84,53.26,50.89,51.07,50602478.0,2.3699999999999974,4.640689250048948
2026-02-24,50.74,50.88,49.47,50.41,53062697.0,1.4100000000000037,2.797064074588383
2026-02-25,50.33,51.765,50.31,51.69,41375022.0,1.4549999999999983,2.814857806152057
2026-02-26,51.88,52.67,51.7401,52.3,52418498.0,0.9299000000000035,1.7780114722753413
2026-02-27,51.08,51.41,49.32,49.83,77728699.0,2.0899999999999963,4.194260485651207
2026-03-02,48.78,50.42,48.58,49.81,40595188.0,1.8400000000000034,3.6940373418992234
2026-03-03,48.76,50.51,48.5,49.97,51242938.0,2.009999999999998,4.022413448068837
2026-03-04,49.89,50.41,49.21,50.3,34208496.0,1.1999999999999957,2.3856858846918403
2026-03-05,49.82,50.43,49.33,49.81,39073943.0,1.1000000000000014,2.2083918891788823
2026-03-06,48.55,48.7,47.62,48.64,47015993.0,1.0800000000000054,2.2203947368421164
2026-03-09,47.94,48.15,46.77,47.9,62752798.0,1.3799999999999955,2.8810020876826625
2026-03-10,48.28,49.15,47.595,48.56,50271136.0,1.5549999999999997,3.202224052718286
2026-03-11,48.36,48.65,47.78,48.52,42185812.0,0.8699999999999974,1.7930750206100525
2026-03-12,47.7,47.7824,46.79,47.13,58354534.0,0.9924000000000035,2.1056651814131198
2026-03-13,47.52,47.8201,46.655,46.72,45473073.0,1.1650999999999954,2.493792808219168
